,t_measure10,t_measure15,t_measure30,t_precision10,t_precision15,t_precision30,t_recall10,t_recall15,t_recall30,track_id
468,0.10743457086643257,0.15134099078107804,0.2167903190711868,0.06666875096768603,0.09410245816135329,0.13515301277767858,0.2765142149879357,0.38632779997865097,0.5475002889510923,SALAMI_464
469,0.15358635450171168,0.1679243524944075,0.2314551487554778,0.10269865391038292,0.11171042447548582,0.15251896262301676,0.3044358548895469,0.33801954888455943,0.47974948575734117,SALAMI_466
470,0.14336652772178854,0.19391741514788985,0.2876353744981357,0.09924060344037194,0.1331961237581585,0.19650123455914706,0.2581486627768801,0.35638644730626057,0.5364170512200204,SALAMI_468
471,0.06177894011224491,0.1024913281897122,0.177988305149803,0.04021486690348582,0.06551945167085452,0.11418967331188047,0.13320783526519794,0.2352275311739682,0.40333412098447974,SALAMI_470
472,0.2608645132381896,0.299507733546186,0.3755455578978669,0.21780696310916586,0.24811680889723725,0.3035884779779804,0.32514047653949757,0.3777484766251352,0.4922100599894083,SALAMI_472
473,0.24450316286988322,0.31929662412072024,0.4521873559596941,0.23491633273039692,0.3023264922621633,0.41506493259091426,0.2549057522514269,0.33828518216672565,0.49660228696201447,SALAMI_474
474,0.08681277058915109,0.1065850558921479,0.1486578465261822,0.24666905249310003,0.28881387112107715,0.40879448863630946,0.05267574257650549,0.0653512802298224,0.09084718225721375,SALAMI_476
475,0.1170865856982871,0.16220035489590642,0.25354762920632695,0.10318484515159031,0.14136262916901363,0.21474050609897918,0.13531744071928237,0.19024340999570732,0.3094747869342842,SALAMI_478
476,0.03489058626406328,0.03903131467863953,0.09083517106008075,0.03014253452137561,0.032789811737271884,0.07123382244255513,0.04141414141414142,0.0482075702075702,0.12531912510642165,SALAMI_48
477,0.044894252313943034,0.062277658207515484,0.1367656074767114,0.043039350380110475,0.05901671712313338,0.12820821524735254,0.046916239704249484,0.06592003911791382,0.14654704413668954,SALAMI_480
478,0.18557687990424335,0.2373869990038757,0.3354782041170562,0.1653459350449084,0.21037441713027533,0.2893678286003561,0.21144874620633275,0.2723584844132804,0.39906937377460344,SALAMI_482
479,0.13487551396228914,0.16716948692207562,0.24264326021203392,0.10324207072672245,0.12703093953812233,0.18145099543049542,0.19445739765808984,0.24439075112743627,0.36610947797623505,SALAMI_484
480,0.10125874600413734,0.13060125829092573,0.16773846026140932,0.07621719463744933,0.09672539277863008,0.12100756598800302,0.150807240704501,0.20099527482587345,0.2732704943592627,SALAMI_486
481,0.23235788336107766,0.26920052264010913,0.3419408695891658,0.21529897725587113,0.24797024900181097,0.3070651113725381,0.25235268709603315,0.29440649150404546,0.3857539245595572,SALAMI_488
482,0.13414238309163673,0.1495562573805072,0.23068071682367317,0.13459310600367555,0.15126523768800543,0.23439261695393387,0.13369466884937675,0.14788546146420492,0.22708454908476522,SALAMI_490
483,0.12701832905904603,0.15541861415728123,0.21750924415564563,0.08372836934730137,0.10151254159868466,0.14172357047115983,0.26299346747755614,0.3314032494526238,0.4675033356303726,SALAMI_492
484,0.07756024513848864,0.09928789812673706,0.16957441064264916,0.10368770345155062,0.13192315775972047,0.212363915280369,0.06194995706380907,0.07959710147762601,0.14113659847081303,SALAMI_494
485,0.10129629899759653,0.14428059866959347,0.2713780099501127,0.11341407699938191,0.15820891004019985,0.28327218047183417,0.09151801552011633,0.13260627810988307,0.26044242628575887,SALAMI_496
486,0.18161166699943612,0.21527053158842677,0.3086802292140616,0.1550727690684241,0.18243693600487987,0.254136072817685,0.21910974786269968,0.26251617166119123,0.3930358634531828,SALAMI_498
487,0.2088168678833458,0.25420993403488545,0.3338044162771106,0.15090301228517705,0.18371636876707806,0.2404399394636118,0.3388684821136269,0.41248339152552815,0.5457056683431286,SALAMI_50
488,0.13289272618588735,0.16834290787076564,0.24312301326360358,0.12313270633535807,0.15484070396581798,0.21553203718372216,0.14433318583962218,0.18442486902815716,0.278815060568362,SALAMI_500
489,0.1011502605391977,0.13189734617843918,0.22432317234042704,0.08570042501001245,0.1100745185185325,0.17956227093965318,0.12339569507026808,0.1645128465325584,0.29880985918482644,SALAMI_502
490,0.07905509025202821,0.11471455737815207,0.21784095432137904,0.06292831502047795,0.09045653033280333,0.16936644921181923,0.10629572543527484,0.15675098867465523,0.30518947478516495,SALAMI_504
491,0.11443711836580486,0.1600934430051537,0.2695551101183933,0.08173770559699776,0.1136723713051796,0.18942371140709774,0.19074537368429162,0.2705999944036448,0.46718866247704677,SALAMI_506
492,0.08323473019839915,0.12481662242750205,0.21964553263834694,0.07807863311408478,0.1159460023183361,0.19642939530345135,0.08911996641007523,0.1351570089665916,0.24908508542162097,SALAMI_508
493,0.10664105328694223,0.1390124821309327,0.23240288807770051,0.09926471247033102,0.13007738797291196,0.21170414735403745,0.115201665907778,0.14926562806259225,0.2575877622056868,SALAMI_510
494,0.079696137459112,0.12332397683403591,0.21094012010041407,0.08534121949630415,0.13033651017650524,0.21168773528371693,0.07475153342068538,0.11702751143961093,0.21019776702119208,SALAMI_512
495,0.08846323082799382,0.12572007826461462,0.23167172249765658,0.11527019742246129,0.16165549338107776,0.2830132319230071,0.0717720835204495,0.1028556497579286,0.1960976018010755,SALAMI_514
496,0.08744261880810597,0.11892242602307113,0.22684047222332468,0.07752432004592585,0.10382757492354891,0.19191728610649042,0.10027109179642457,0.13915302681892014,0.27730091647446337,SALAMI_516
497,0.2218983440674034,0.26753023226144407,0.3749031155858253,0.17999597504837941,0.21578292730006515,0.2935610108487983,0.2892299647352433,0.35192634280039553,0.5186010030782743,SALAMI_518
498,0.17590388312823782,0.23347063287025044,0.32856478321805105,0.1342872346306944,0.17569194098597157,0.23918510774341584,0.2548990678892639,0.3478736186535007,0.5245991542796627,SALAMI_52
499,0.17877316159319215,0.21467687290228263,0.27565917108531174,0.12005938043765828,0.1440534837001225,0.18454023025061947,0.3498766866886616,0.4211481903006455,0.5445247782472329,SALAMI_520
500,0.1470150058170217,0.16705750359696003,0.20654215502894158,0.27563906681553735,0.308905611539775,0.3587148483902624,0.10023936447135952,0.11448602214567039,0.1450216178170785,SALAMI_522
501,0.047834334868741314,0.09257979008037107,0.17144246573470046,0.047272076251315,0.09048441928018588,0.17278615346517262,0.048410129602080056,0.09477450754998583,0.17011951536555156,SALAMI_524
